usaf,wban,name,country,state,call,lat,lon,elev,begin,end
720141,04868,MARSHALL CO,US,IL,KC75 ,41.019,-89.386,+0173.1,20060101,20130430
722417,99999,WILMETTE (CGS)               ,US,IL,,42.067,-87.683,+0183.0,19870501,19910207
722418,99999,CALUMET (CGS)                ,US,IL,63G  ,41.717,-87.533,+0180.0,19870501,19900810
724394,99999,ALTON,US,IL,,38.883,-90.05,+0166.0,19840225,19840229
724396,93989,QUINCY RGNL BALDWIN,US,IL,KUIN,39.937,-91.192,+0233.5,19730101,20100801
724398,99999,WEST PLAINS,US,IL,,36.883,-91.9,+0374.0,19760402,20010516
725306,14855,NAVAL AIR STATION,US,IL,KNBU,42.083,-87.833,+0196.9,19730101,19950301
725306,99999,GLENVIEW NAS,US,IL,KNBU,42.083,-87.817,+0199.0,20050905,20050905
725307,99999,WILMETTE (MARINES)&          ,US,IL,K62G ,42.067,-87.683,+0223.0,19760212,19960214
725310,14806,RANTOUL/CHANUTE AFB,US,IL,,40.3,-88.15,+0228.0,19360701,19710528
725310,99999,RANTOUL,US,IL,,40.3,-88.15,+0228.0,20020228,20041006
725323,99999,GALESBURG MUNICIPAL,US,IL,GBG,40.933,-90.433,+0245.0,19810904,19950814
725325,14816,BRADFORD/RINKENBERG,US,IL,KBDF,41.233,-89.617,+0247.0,19730101,19751214
725325,99999,BRADFORD/RINKENBERG,US,IL,KBDF,41.233,-89.617,+0247.0,20011226,20011226
725339,99999,CHIGAGO-WAUKEE ARPT,US,IL,KPWK,42.117,-87.9,+0197.0,20010811,20020621
725342,99999,LAWRENCEVILLE VINCEN,US,IL,KLWV,38.764,-87.605,+0131.0,19970123,20051230
725346,94866,CHICAGO/MEIGS,US,IL,KCGX,41.867,-87.6,+0181.0,19730101,20080618
725346,99999,CHICAGO/MEIGS,US,IL,KCGX,41.867,-87.6,+0181.0,20000101,20030409
744661,99999,EFFINGHAM CO MEM,US,IL,,39.07,-88.534,+0178.9,20020603,20130430
749075,99999,LAWERENCEVILLE IL,US,IL,LMV,38.766,-87.6,+0131.0,19430111,19460201
998497,99999,FOSTER AVE CHICAGO,US,IL,,41.976,-87.648,+0177.0,20120620,20201125
999999,03838,VANDALIA FAA AIRPORT,US,IL,VLA,38.983,-89.167,+0163.1,19510401,19550101
999999,14810,PARK RIDGE AF,US,IL,,41.983,-87.9,+0203.0,19490101,19581101
999999,14816,BRADFORD,US,IL,BDF,41.233,-89.617,+0242.0,19481201,19550101
999999,14834,JOLIET,US,IL,KJOT,41.5,-88.167,+0177.1,19460101,19530315
999999,14844,ROCKFORD CAA AIRPORT,US,IL,,42.35,-89.05,+0225.9,19481201,19510301
999999,93989,QUINCY MUNI BALDWIN FLD,US,IL,KUIN,39.937,-91.192,+0233.5,19481201,19550101
999999,94866,CHICAGO MEIGS FIELD,US,IL,CGX,41.867,-87.617,+0180.1,19660101,19700701
724337,03838,VANDALIA FAA AIRPORT,US,IL,KVLA,38.983,-89.167,,19730101,19730515
999999,14819,CHICAGO MIDWAY AP,US,IL,KMDW,41.786,-87.752,+0188.4,19480101,19721231
